name,price
603696,9.81
603697,8.42
603698,14.4
603699,14.16
603700,13.96
603701,13.53
603703,11.31
603706,16.77
603707,12.26
603708,11.02
603709,17.53
603711,16.11
603712,26.7
603713,61.29
603716,11.28
603717,6.87
603718,11.36
603719,20.52
603721,18.25
603722,46.21
603725,9.98
603726,14.26
603727,12.69
603728,66.4
603729,20.6
603730,16.51
603733,18.7
603737,57.81
603738,17.32
603739,14.04
603755,30.41
603757,23.53
603758,11.01
603759,8.41
603766,5.55
603767,16.45
603768,20.88
603773,33.8
603776,13.36
603777,13.44
603778,5.13
603779,9.36
603786,69.85
603787,14.01
603788,16.21
603789,8.64
603790,13.97
603797,5.53
603798,9.66
603799,36.19
603800,27.82
603801,19.39
603803,8.64
603806,25.12
603808,10.39
603809,12.33
603810,13.03
603811,10.79
603813,16.17
603815,7.4
603816,36.78
603817,6.17
603818,5.26
603819,13.68
603822,31.03
603823,10.1
603825,11.64
603826,53.56
603828,3.66
603829,14.83
603833,85.99
603836,15.71
603838,6.53
603839,7.44
603843,3.84
603848,15.17
603855,17.93
603856,11.68
603858,17.2
603859,39.65
603860,27.09
603861,9.77
603863,37.5
603866,8.63
603867,30.4
603868,53.65
603869,9.53
603871,17.16
603876,13.88
603877,15.65
603878,7.09
603879,6.52
603880,4.83
603881,19.75
603882,65.08
603883,26.96
603885,14.05
603886,19.12
603887,7.8
603888,25.53
603889,6.83
603890,10.86
603893,66.99
603895,23.4
603896,37.41
603897,18.73
603898,11.02
603899,40.29
603900,6.4
603901,11.82
603903,9.74
603906,12.58
603908,40.12
603909,11.57
603912,9.67
603915,17.19
603916,11.84
603917,18.54
603918,19.85
603919,27.15
603920,17.9
603922,25.17
603926,11.7
603927,30.5
603928,12.45
603929,25.85
603931,29.88
603933,16.31
603936,10.75
603937,12.76
603938,17.35
603939,35.78
603948,22.65
603949,25.28
603950,14.27
603955,15.87
603956,7.71
603958,9.19
603959,7.88
603960,14.56
603963,11.08
603966,8.28
603967,9.65
603968,14.74
603969,5.53
603970,16.35
603976,20.09
603977,8.35
603978,16.75
603979,34.86
603980,4.69
603982,16.45
603983,26.34
603985,41.46
603986,108.0
603987,10.43
603988,10.56
603989,23.29
603990,14.01
603991,36.34
603992,15.18
603993,5.41
603995,21.3
603997,14.99
603998,10.99
603999,6.09
605001,6.55
605003,19.82
605005,18.83
605006,7.11
605007,15.26
605008,14.48
605009,39.9
605011,24.73
605016,27.25
605018,11.44
605020,23.15
605028,18.31
605033,19.36
605050,11.05
605055,7.17
605056,12.26
605058,22.15
605060,19.73
605066,8.78
605068,25.0
605069,10.38
605077,22.06
605080,23.44
605081,13.95
605086,24.0
605088,20.43
605089,37.27
605090,24.31
605098,37.83
605099,20.13
605100,15.36
605108,29.48
605111,42.7
605116,25.1
605117,70.61
605118,15.5
605122,15.3
605123,82.72
605128,53.28
605133,28.45
605136,10.27
605138,7.84
605151,19.9
605155,15.97
605158,7.56
605162,9.08
605166,9.65
605167,9.02
605168,61.49
605169,11.18
605177,29.7
605178,20.85
605179,12.07
605180,13.75
605183,15.17
605186,37.45
605188,9.83
605189,16.01
605196,7.27
605198,20.49
605199,15.4
605208,9.22
605218,15.82
605222,20.05
605228,11.2
605255,16.95
605258,28.15
605259,22.89
605266,55.3
605268,10.22
605277,15.38
605286,24.22
605287,17.07
605288,44.5
605289,35.27
605296,21.42
605298,15.33
605299,10.72
605300,16.47
605303,11.64
605305,29.57
605318,18.0
605319,21.75
605333,19.27
605336,15.09
605337,15.62
605338,22.69
605339,18.93
605358,32.9
605365,17.55
605366,8.15
605368,9.71
605369,56.66
605376,28.9
605377,21.23
605378,23.14
605388,13.02
605389,25.75
605398,33.2
605399,14.39
605488,14.89
605499,182.49
605500,8.07
605507,19.64
605555,20.41
605566,21.43
605567,12.83
605577,14.63
605580,11.73
605588,53.89
605589,21.78
605598,26.28
605599,13.7
